chain,tvl,pct
Ethereum,8332185765.04,29.68
Arbitrum,2164944827.69,7.71
Solana,1952874618.97,6.96
Binance,1825167320.1,6.5
Polygon,1314838610.0,4.68
Avalanche,1156791428.56,4.12
zkSync Era,993621193.33,3.54
Noble,968609973.64,3.45
Stellar,883591097.19,3.15
Base,851646872.12,3.03
Plume Mainnet,809137223.22,2.88
Celo,764763322.19,2.72
Near,747977064.12,2.66
Aptos,646489893.66,2.3
Optimism,618972307.9,2.21
Monad,587104736.25,2.09
Ink,422327474.86,1.5
Plasma,410538082.68,1.46
Mantle,381470008.23,1.36
Sei,280764815.77,1.0
